"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn10285101","DET0021701_avg.nii.gz","1","application/gzip","139594","3324839","1502374915634","3324839","1502374915634","syn10285054","https://www.synapse.org/#!Synapse:syn10285101.1","b23d0114af1eb14c89d2c106a8473f31"
"syn10285067","DET0028301_avg.nii.gz","1","application/gzip","151031","3324839","1502374859837","3324839","1502374859837","syn10285054","https://www.synapse.org/#!Synapse:syn10285067.1","e74723a319466b2a634ee30746af87e5"
"syn10285147","DET0000801_avg.nii.gz","1","application/gzip","160538","3324839","1502374962829","3324839","1502374962829","syn10285054","https://www.synapse.org/#!Synapse:syn10285147.1","6810e30ccc1e26ecf8e52bbf9bcecebc"
"syn10285105","DET0024401_avg.nii.gz","1","application/gzip","179236","3324839","1502374921151","3324839","1502374921151","syn10285054","https://www.synapse.org/#!Synapse:syn10285105.1","02f19f184e3ad3224f2fbe1d29b6748a"
"syn10285145","DET0002601_avg.nii.gz","1","application/gzip","188012","3324839","1502374961362","3324839","1502374961362","syn10285054","https://www.synapse.org/#!Synapse:syn10285145.1","00352bd8d2335816b44ca2ae16d0482a"
"syn10285177","DET0003801_avg.nii.gz","1","application/gzip","199274","3324839","1502374993745","3324839","1502374993745","syn10285054","https://www.synapse.org/#!Synapse:syn10285177.1","13170ad35a52694cf79c12f4382c444b"
"syn10285099","DET0029001_avg.nii.gz","1","application/gzip","200277","3324839","1502374913828","3324839","1502374913828","syn10285054","https://www.synapse.org/#!Synapse:syn10285099.1","ade0f546d41b1a0f2938fc1d7a43a8d9"
"syn10285072","DET0043101_avg.nii.gz","1","application/gzip","222435","3324839","1502374870588","3324839","1502374870588","syn10285054","https://www.synapse.org/#!Synapse:syn10285072.1","a3d5fce7d408f2cf07518c144165b8ea"
"syn10285095","DET0042501_avg.nii.gz","1","application/gzip","223518","3324839","1502374909562","3324839","1502374909562","syn10285054","https://www.synapse.org/#!Synapse:syn10285095.1","14ad8ce04017aca014135d29a6207081"
"syn10285071","DET0028601_avg.nii.gz","1","application/gzip","223871","3324839","1502374868598","3324839","1502374868598","syn10285054","https://www.synapse.org/#!Synapse:syn10285071.1","85b4c59e9562536fec0c22cf4eff2c60"
"syn10285079","DET0043201_avg.nii.gz","1","application/gzip","231162","3324839","1502374883729","3324839","1502374883729","syn10285054","https://www.synapse.org/#!Synapse:syn10285079.1","09504c8c6d9ba89f73360d3ec0e1f5f1"
"syn10285057","DET0028801_avg.nii.gz","1","application/gzip","235977","3324839","1502374830358","3324839","1502374830358","syn10285054","https://www.synapse.org/#!Synapse:syn10285057.1","82d331751b405e64c1806bb71fd71b9a"
"syn10285129","DET0009001_avg.nii.gz","1","application/gzip","236134","3324839","1502374946171","3324839","1502374946171","syn10285054","https://www.synapse.org/#!Synapse:syn10285129.1","1664570fb21394649d06d921ba237527"
"syn10285092","DET0042401_avg.nii.gz","1","application/gzip","238699","3324839","1502374904587","3324839","1502374904587","syn10285054","https://www.synapse.org/#!Synapse:syn10285092.1","b8b78b9111baf80b8d812b0fcf9d5298"
