"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn10285041","DET0000601_avg.nii.gz","1","application/gzip","136803","3324839","1502374709911","3324839","1502374709911","syn10284975","https://www.synapse.org/#!Synapse:syn10285041.1","bbd9699f94d302464c794919e0d14c45"
"syn10285014","DET0025001_avg.nii.gz","1","application/gzip","167292","3324839","1502374651056","3324839","1502374651056","syn10284975","https://www.synapse.org/#!Synapse:syn10285014.1","47df1060ed6310e87de70449e2f2ce9e"
"syn10285003","DET0027601_avg.nii.gz","1","application/gzip","168510","3324839","1502374630704","3324839","1502374630704","syn10284975","https://www.synapse.org/#!Synapse:syn10285003.1","ddcfe19947ea4a02d56fe665e911bbae"
"syn10284993","DET0029601_avg.nii.gz","1","application/gzip","175331","3324839","1502374607297","3324839","1502374607297","syn10284975","https://www.synapse.org/#!Synapse:syn10284993.1","8f7dfe55a260e82a1296ae4f748f5903"
"syn10284999","DET0043301_avg.nii.gz","1","application/gzip","184247","3324839","1502374621714","3324839","1502374621714","syn10284975","https://www.synapse.org/#!Synapse:syn10284999.1","473f642ce7927a625bb7407b9c6483b0"
"syn10284995","DET0042201_avg.nii.gz","1","application/gzip","194805","3324839","1502374612665","3324839","1502374612665","syn10284975","https://www.synapse.org/#!Synapse:syn10284995.1","f252f700be6f5080857a3912fbc6d2db"
"syn10285002","DET0014701_avg.nii.gz","1","application/gzip","197308","3324839","1502374628072","3324839","1502374628072","syn10284975","https://www.synapse.org/#!Synapse:syn10285002.1","aae9f63dd37d268519e5807f1c13b285"
"syn10285042","DET0000701_avg.nii.gz","1","application/gzip","199844","3324839","1502374712253","3324839","1502374712253","syn10284975","https://www.synapse.org/#!Synapse:syn10285042.1","ed63fce1ed55a54d774c2fa28c4a9b1d"
"syn10284988","DET0029301_avg.nii.gz","1","application/gzip","205931","3324839","1502374595494","3324839","1502374595494","syn10284975","https://www.synapse.org/#!Synapse:syn10284988.1","31075efeb250cef3d2e6f5bbf60326ac"
"syn10284980","DET0030301_avg.nii.gz","1","application/gzip","206549","3324839","1502374577329","3324839","1502374577329","syn10284975","https://www.synapse.org/#!Synapse:syn10284980.1","d9ad8dcbb7d64edef4d06c088d58853a"
"syn10284981","DET0024301_avg.nii.gz","1","application/gzip","209265","3324839","1502374579849","3324839","1502374579849","syn10284975","https://www.synapse.org/#!Synapse:syn10284981.1","95b96c33646e94b6b82e9bb99c06c88d"
"syn10284982","DET0029901_avg.nii.gz","1","application/gzip","216775","3324839","1502374582569","3324839","1502374582569","syn10284975","https://www.synapse.org/#!Synapse:syn10284982.1","80f69809b1b7e7c64a07115baf3282fd"
"syn10285047","DET0007601_avg.nii.gz","1","application/gzip","225979","3324839","1502374721952","3324839","1502374721952","syn10284975","https://www.synapse.org/#!Synapse:syn10285047.1","e7daf657ca4831cdd3b80c5b509a020e"
"syn10284979","DET0012401_avg.nii.gz","1","application/gzip","228894","3324839","1502374575795","3324839","1502374575795","syn10284975","https://www.synapse.org/#!Synapse:syn10284979.1","bcd22e7afd2205e32ea9d7db9b8bf76a"
"syn10284991","DET0029201_avg.nii.gz","1","application/gzip","229973","3324839","1502374603054","3324839","1502374603054","syn10284975","https://www.synapse.org/#!Synapse:syn10284991.1","3d1c902a13df4b41b2efc694907656e9"
"syn10284990","DET0026701_avg.nii.gz","1","application/gzip","238199","3324839","1502374601240","3324839","1502374601240","syn10284975","https://www.synapse.org/#!Synapse:syn10284990.1","31a8351386cabc8020e9bbf5e67ce0a2"
"syn10285019","DET0012001_avg.nii.gz","1","application/gzip","240603","3324839","1502374659318","3324839","1502374659318","syn10284975","https://www.synapse.org/#!Synapse:syn10285019.1","0566a9967dfd437c7e5f57b85b457288"
"syn10284989","DET0026601_avg.nii.gz","1","application/gzip","247321","3324839","1502374599390","3324839","1502374599390","syn10284975","https://www.synapse.org/#!Synapse:syn10284989.1","f0b3fedbb046815b266d88c51b6c6d9d"
"syn10284996","DET0042301_avg.nii.gz","1","application/gzip","249778","3324839","1502374615755","3324839","1502374615755","syn10284975","https://www.synapse.org/#!Synapse:syn10284996.1","66fb21f4da0f747f01319bcbe3d3192d"
"syn10285044","DET0007301_avg.nii.gz","1","application/gzip","250635","3324839","1502374716315","3324839","1502374716315","syn10284975","https://www.synapse.org/#!Synapse:syn10285044.1","22ffc60c4916c230f8a552cf9d6635bb"
"syn10285001","DET0043001_avg.nii.gz","1","application/gzip","256184","3324839","1502374626406","3324839","1502374626406","syn10284975","https://www.synapse.org/#!Synapse:syn10285001.1","2f865ad1457d2ea947fa9e346d2a6746"
"syn10284985","DET0042701_avg.nii.gz","1","application/gzip","266382","3324839","1502374589238","3324839","1502374589238","syn10284975","https://www.synapse.org/#!Synapse:syn10284985.1","f37426c490dd81425a303b4f2ab8af8c"
"syn10285045","DET0007501_avg.nii.gz","1","application/gzip","270826","3324839","1502374718056","3324839","1502374718056","syn10284975","https://www.synapse.org/#!Synapse:syn10285045.1","a0191483c371a497ab1615fdcebf2959"
"syn10284998","DET0014401_avg.nii.gz","1","application/gzip","292742","3324839","1502374619333","3324839","1502374619333","syn10284975","https://www.synapse.org/#!Synapse:syn10284998.1","d2a7762cbede6b6f6833d525476e870b"
"syn10285005","DET0014001_avg.nii.gz","1","application/gzip","295821","3324839","1502374634845","3324839","1502374634845","syn10284975","https://www.synapse.org/#!Synapse:syn10285005.1","ba7929c3a97780b14edf954c369d7b44"
"syn10285046","DET0007401_avg.nii.gz","1","application/gzip","297540","3324839","1502374719830","3324839","1502374719830","syn10284975","https://www.synapse.org/#!Synapse:syn10285046.1","1ef44c50c07ce71f27c0d7568fa518ea"
"syn10285040","DET0008301_avg.nii.gz","1","application/gzip","310026","3324839","1502374708461","3324839","1502374708461","syn10284975","https://www.synapse.org/#!Synapse:syn10285040.1","ed405c1a43149171e47e13a2c762fed9"
"syn10285016","DET0009101_avg.nii.gz","1","application/gzip","326752","3324839","1502374654379","3324839","1502374654379","syn10284975","https://www.synapse.org/#!Synapse:syn10285016.1","0078cbe264fb9a5296f72dd96500926e"
"syn10285000","DET0014601_avg.nii.gz","1","application/gzip","342250","3324839","1502374623482","3324839","1502374623482","syn10284975","https://www.synapse.org/#!Synapse:syn10285000.1","14134704d6ba7954ae51079a8b500fca"
"syn10285020","DET0009501_avg.nii.gz","1","application/gzip","348258","3324839","1502374660934","3324839","1502374660934","syn10284975","https://www.synapse.org/#!Synapse:syn10285020.1","6cc8b95bf6dc8967e20023b56a6a5024"
"syn10284987","DET0012901_avg.nii.gz","1","application/gzip","360197","3324839","1502374593882","3324839","1502374593882","syn10284975","https://www.synapse.org/#!Synapse:syn10284987.1","f352523ccf01523dace4a7950168c3ed"
"syn10285024","DET0010901_avg.nii.gz","1","application/gzip","362006","3324839","1502374671313","3324839","1502374671313","syn10284975","https://www.synapse.org/#!Synapse:syn10285024.1","0740726d600726d0c45bfb8d84d0b630"
